localidad,hora,especie,escuchado_visto,numero,notas
Escarpment to lunch spot,12:05,Common Ground Dove,V,2,
Escarpment to lunch spot,12:06,Tennessee Warbler,V,1,
Escarpment to lunch spot,12:06,Inca Dove,E,2,
Escarpment to lunch spot,12:07,Rufous-naped Wren,E,2,
Escarpment to lunch spot,12:07,Lesser Greenlet,E,1,
Escarpment to lunch spot,12:08,Great Crested Flycatcher,V,1,
Escarpment to lunch spot,12:08,Black-and-White Warbler,V,1,
Escarpment to lunch spot,12:09,Rufous-browed Peppershrike,V,1,
Escarpment to lunch spot,12:09,Streak-headed Woodcreeper,V,1,
Escarpment to lunch spot,12:13,Dusky-capped Flycatcher,V,1,
Escarpment to lunch spot,12:13,Rufous-naped Wren,E,2,
Escarpment to lunch spot,12:16,Northern Beardless Tyrannulet,E,1,Merlin ID
Escarpment to lunch spot,12:16,Common Tody Flycatcher,E,1,Merlin ID
Escarpment to lunch spot,12:17,Yellow-throated Vireo,E,1,
Lunch spot to open area,NA,Cinnamon Hummingbird,E,1,
Lunch spot to open area,13:15,Hoffmann's Woodpecker,E,1,
Lunch spot to open area,13:15,Yellow-throated Vireo,V,1,
Lunch spot to open area,13:19,Chestnut-capped Warbler,V,1,
Lunch spot to open area,13:24,Chestnut-capped Warbler,V,2,
Lunch spot to open area,13:24,Blue-vented Hummingbird,V,1,
Lunch spot to open area,13:26,Elegant Trogon,E,1,
Lunch spot to open area,13:26,Black-headed Trogon,E,1,single chip call
Lunch spot to open area,13:30,Chestnut-capped Warbler,E,2,
Lunch spot to open area,13:30,Northern Bentbill,E,1,
Open Area to descent,13:38,Banded Wren,E,1,
Open Area to descent,13:38,Cabanis Wren,E,2,
Open Area to descent,13:38,Yellow-olive Flycatcher,E,3,
Open Area to descent,13:42,Ruddy Woodcreeper,V,2,
Open Area to descent,13:43,Rufous-naped Wren,E,2,
Open Area to descent,13:46,Chestnut-capped Warbler,E,2,
Open Area to descent,13:58,White-tipped Dove,E/V,4,
Open Area to descent,13:59,Inca Dove,V,4,
Descent,14:12,Cinnamon Hummingbird,E/V,1,
Descent,14:29,Tennessee Warbler,V,1,at Aphalandra scabra flowers
Descent,14:36,Long-tailed Manakin,E,2,
Descent,14:36,Banded Wren,E,1,
Descent,14:38,Blue-vented Hummingbird,V,1,
Descent,14:38,Great Crested Flycatcher,E,1,
Descent,14:40,Blue-throated Golden Tail,E/V,2,
Descent,14:43,Oliveacous Woodcreeper,E,1,
Descent,14:48,Hoffmann's Woodpecker,E,1,
Descent,14:48,Northern Barred Woodcreeper,V,2,
Descent,14:54,Orange-chinned Parakeet,E,2,
Descent,14:56,White-tipped Dove,V,2,
Slope to toma de agua,15:06,Hook-billed Kite,V,1,
Slope to toma de agua,15:20,Summer Tanager,E,1,
Slope to toma de agua,15:20,Yellow-olive Flycatcher,E,1,
Descent to Rio Cuajiniquil at Santos Umaña,15:28,Orange-chinned Parakeet,E,1,
Descent to Rio Cuajiniquil at Santos Umaña,15:54,Summer Tanager,E,1,
Descent to Rio Cuajiniquil at Santos Umaña,15:57,White-tipped Dove,E,1,
Descent to Rio Cuajiniquil at Santos Umaña,15:58,Yellow-olive Flycatcher,E,1,
Descent to Rio Cuajiniquil at Santos Umaña,15:58,Dusky-capped Flycatcher,E,1,
Descent to Rio Cuajiniquil at Santos Umaña,15:59,Orange-chinned Parakeet,E/V,6,
Descent to Rio Cuajiniquil at Santos Umaña,16:03,Scrub Euphonia,E,1,
Descent to Rio Cuajiniquil at Santos Umaña,16:08,White-tipped Dove,E,1,
Descent to Rio Cuajiniquil at Santos Umaña,16:09,Great Crested Flycatcher,E,1,
Descent to Rio Cuajiniquil at Santos Umaña,16:12,White-throated Magpie-Jay,V,2,
Descent to Rio Cuajiniquil at Santos Umaña,16:14,Northern Waterthrush,E,1,
Descent to Rio Cuajiniquil at Santos Umaña,16:15,Great Curassow,V,3,"two female, one male"
Descent to Rio Cuajiniquil at Santos Umaña,16:17,Social Flycatcher,V,2,
Descent to Rio Cuajiniquil at Santos Umaña,16:18,Orange-fronted Parakeet,E,2,
Descent to Rio Cuajiniquil at Santos Umaña,16:19,Great Crested Flycatcher,E,1,
Descent to Rio Cuajiniquil at Santos Umaña,16:21,Bare-throated Tiger-Heron,V,1,
Descent to Rio Cuajiniquil at Santos Umaña,16:22,Northern Waterthrush,V,1,
Descent to Rio Cuajiniquil at Santos Umaña,16:36,Green Kingfisher,V,2,
Santos Umaña,16:42,White-fronted Parrot,E,2,
Santos Umaña,16:46,White-fronted Parrot,E,22,flying downstream/coastward
Santos Umaña,16:47,White-fronted Parrot,E,4,
Santos Umaña,16:49,Groove-billed Ani,V,3,
Santos Umaña,16:49,Tennessee Warbler,V,2,
Santos Umaña,16:49,Rufous-naped Wren,V,4,
Santos Umaña,16:52,White-fronted Parrot,V,2,
Santos Umaña,16:56,Stripe-headed Sparrow,V,4,
Santos Umaña,16:58,White-fronted Parrot,V,6,
Santos Umaña,16:59,Yellow-naped Parrot,E,2,
Santos Umaña,17:10,Summer Tanager,E,2,
Santos Umaña,17:13,Ruby-throated Hummingbird,V,1,male
Santos Umaña,17:14,Yellow-naped Parrot,V,2,
Santos Umaña to Aguas Calientes,17:25,Yellow-naped Parrot,V,12,flying high
Santos Umaña to Aguas Calientes,17:29,Summer Tanager,E,1,
Santos Umaña to Aguas Calientes,17:30,Bare-throated Tiger-Heron,V,1,
Santos Umaña to Aguas Calientes,17:30,Hoffmann's Woodpecker,E,2,
Santos Umaña to Aguas Calientes,17:31,Northern Waterthrush,E,1,
Santos Umaña to Aguas Calientes,17:42,Green Kingfisher,V,2,
Santos Umaña to Aguas Calientes,17:44,Yellow-naped Parrot,E,2,
Santos Umaña to Aguas Calientes,17:54,Laughing Falcon,E,1,
Santos Umaña to Aguas Calientes,17:55,Bare-throated Tiger-Heron,E,1,
Santos Umaña to Aguas Calientes,17:56,Common Paraque,E,1,
Santos Umaña to Aguas Calientes,17:58,Common Paraque,V,1,
Santos Umaña to Aguas Calientes,18:51,Pacific Screech-Owl,E,1,
