localidad,hora,especie,escuchado_visto,número,notas
Estación Leiva,9:24,Rufous Mourner,V,1,
Estación Leiva,9:30,Roadside Hawk,V,1,
Estación Leiva,9:39,Black Vulture,V,2,soaring
Estación Leiva,9:40,Turkey Vulture,V,1,
Estación Leiva,9:50,Blue-gray Tanager,V,2,
Estación Leiva,9:50,White-collared Swift,V,1,
Estación Leiva,9:50,Lesser Swallow-tailed Swift,V,1,
Estación Leiva,9:57,White-fronted Parrot,V,2,flyover
Estación Leiva,10:10,Great Kiskadee,E/V,2,in Cecropia
Leiva to San Luis,11:40,Tropical Kingbird,V,1,in pasture tree
Leiva to San Luis,11:41,Ruddy Ground Dove,V,10,corn field
Leiva to San Luis,11:41,Black Vulture,V,1,flying
Leiva to San Luis,11:45,Black Vulture,V,3,flying
Leiva to San Luis,11:46,Tropical Kingbird,V,1,"in ""white barked"" tree"
Leiva to San Luis,11:47,Golden-hooded Tanager,V,1,flew across road
Leiva to San Luis,11:48,Scarlet-rumped Tanager,V,3,"2 females, 1 male by drainage"
Leiva to San Luis,11:50,Blue-black Grassquit,V,2,
Leiva to San Luis,11:50,Yellow-faced Grassquit,V,1,
Leiva to San Luis,11:50,Ruddy Ground Dove,V,1,
Leiva to San Luis,11:53,Ruddy Ground Dove,V,1,flushed from road
Leiva to San Luis,11:53,Black Vulture,V,1,
"Fruiting tree, San Luis",11:53,Tropical Kingbird,V,1,on wire
"Fruiting tree, San Luis",11:54,Palm Tanager,V,2,
"Fruiting tree, San Luis",11:54,Golden-hooded Tanager,V,1,
"Fruiting tree, San Luis",11:54,Rose-breasted Grosbeak,V,1,female
"Fruiting tree, San Luis",11:54,Scarlet-rumped Tanager,V,4,
"Fruiting tree, San Luis",11:54,Philadelphia Vireo,V,1,
"Fruiting tree, San Luis",11:54,White-winged Dove,V,1,
"Fruiting tree, San Luis",11:54,Clay-colored Thrush,V,2,
"Fruiting tree, San Luis",11:58,Black Vulture,V,1,in air
"Fruiting tree, San Luis",12:00,Buff-throated Saltator,V,2,An spotted
"Fruiting tree, San Luis",12:02,Rufous-tailed Hummingbird,V,1,perched
"Fruiting tree, San Luis",12:03,Blue-and-white Swallow,V,5,perched on line and flying
"Fruiting tree, San Luis",12:06,Bananaquit,V,1,Cecropia
"Fruiting tree, San Luis",12:08,Yellow-throated Vireo,V,1,fruiting tree
"Fruiting tree, San Luis",12:09,Tennessee Warbler,V,1,vine
"Fruiting tree, San Luis",12:10,Black-and-white Warbler,V,1,
"Fruiting tree, San Luis",12:10,Melodious Blackbird,V,1,eating orange on ground
"Fruiting tree, San Luis",12:12,Rose-breasted Grosbeak,V,1,female - definitely new
"Fruiting tree, San Luis",12:12,Baltimore Oriole,V,1,female in orange tree
"Fruiting tree, San Luis",12:15,Hoffmann's Woodpecker,V,1,
San Luis road,12:24,Black Vulture,V,1,perched
San Luis road,12:24,House Wren,V,1,
cattle pond,12:29,Solitary Sandpiper,V,1,"cattle pond/puddle, photo"
cattle pond,12:29,Great Egret,V,1,cattle pond/puddle
cattle pond,12:30,Hoffmann's Woodpecker,E,1,cattle pond/puddle
cattle pond,12:30,Wood Stork,V,1,cattle pond/puddle
cattle pond,12:31,Bare-throated Tiger-Heron,V,1,"cattle pond/puddle, photo"
San Luis road,12:36,Great Egret,V,1,flyover
San Luis road,12:38,Northern Rough-winged Swallow,V,1,"on wire, photo"
San Luis road,12:40,Tropical Kingbird,V,1,
San Luis road,12:41,Yellow Warbler,V,1,in Maldero negro tree
road to Dos Ríos,12:42,Great Kiskadee,V,1,
road to Dos Ríos,12:42,Blue-and-white Swallow,V,3,power line
road to Dos Ríos,12:42,Tropical Kingbird,V,1,
road to Dos Ríos,12:51,Ruddy Ground Dove,V,1,
road to Dos Ríos,12:52,Groove-billed Ani,V,6,on post and ground
road to Dos Ríos,12:54,Great Kiskadee,V,1,
road to Dos Ríos,12:55,Great-tailed Grackle,V,1,
road to Dos Ríos,12:56,Groove-billed Ani,V,10,
road to Dos Ríos,12:56,Blue-and-white Swallow,V,5,
road to Dos Ríos,12:54,House Wren,V,1,
road to Dos Ríos,12:59,Tropical Kingbird,V,1,on line
road to Dos Ríos,13:01,Cattle Egret,V,7,
road to Dos Ríos,13:03,Northern Rough-winged Swallow,V,1,on line
El Gavilán,13:05,Tropical Kingbird,V,1,
El Gavilán,13:07,Northern Rough-winged Swallow,V,1,
El Gavilán,13:44,Black-crowned Tityra,V,5,"had caterpillar, Río Azul"
El Gavilán,13:46,Palm Tanager,V,2,"flyover, Río Azul"
El Gavilán,13:54,Tropical Kingbird,V,1,
El Gavilán,13:56,Northern Rough-winged Swallow,V,1,
El Gavilán,13:56,White-tipped Dove,V,1,
El Gavilán,13:59,Northern Rough-winged Swallow,V,1,
Quebrada Azufrada,14:00,Scaly-breasted Hummingbird,V,1,on wire
Quebrada Azufrada,14:03,House Wren,E,1,
Quebrada Azufrada,14:06,Summer Tanager,V,1,
Quebrada Azufrada,14:08,Tropical Kingbird,V,1,
Quebrada Azufrada,14:08,Melodious Blackbird,E,1,
Quebrada Azufrada,14:08,Boat-billed Flycatcher,V,1,
Quebrada Azufrada,14:10,Cinnamon Becard,V,1,
Quebrada Azufrada,14:11,Hoffmann's Woodpecker,V,1,
Quebrada Azufrada,14:12,Gray-capped Flycatcher,V,1,
Quebrada Azufrada,14:13,Southern Rough-winged Swallow,V,1,"photo, clear tawny throat"
Quebrada Azufrada,14:16,Variable Seedeater,V,1,
Quebrada Azufrada,14:16,Turkey Vulture,V,1,
Quebrada Azufrada,14:17,Social Flycatcher,V,1,
Quebrada Azufrada,14:20,Blue-gray Tanager,V,2,
Quebrada Azufrada,14:21,Tropical Pewee,V,1,
Quebrada Azufrada,14:21,Squirrel Cuckoo,V,1,
Quebrada Azufrada,14:24,Bananaquit,V,1,
Quebrada Azufrada,14:25,Golden-hooded Tanager,V,2,
Quebrada Azufrada,14:28,Yellow-throated Euphonia,V,2,
Quebrada Azufrada,14:28,Masked Tityra,V,2,
Quebrada Azufrada,14:30,Streak-headed Woodcreeper,V,1,on tree with bromeliads
Quebrada Azufrada,14:31,Keel-billed Toucan,E,3,
Quebrada Azufrada,14:31,Brown Jay,V,6,
Quebrada Azufrada,14:31,Black-crowned Tityra,V,1,
Quebrada Azufrada,14:37,Orange-chinned Parakeet,V,2,
Quebrada Azufrada,14:38,Yellow-throated Toucan,E,1,
Quebrada Azufrada,14:40,White-winged Dove,V,1,
Quebrada Azufrada,14:43,Long-tailed Tyrant,V,2,"photo, shorter tail (juvenile?)"
Quebrada Azufrada,14:43,Baltimore Oriole,V,1,male
Quebrada Azufrada,14:46,Common Tody-Flycatcher,V,1,
Quebrada Azufrada,14:46,Scarlet-rumped Tanager,V,1,
Quebrada Azufrada,14:47,White-throated Thrush,V,1,
Quebrada Azufrada,14:53,Scaly-breasted Hummingbird,V,1,
Quebrada Azufrada,14:55,Tropical Kingbird,V,1,
Sensoria entrance road after abandoned house,15:07,Rufous-tailed Hummingbird,V,1,
Sensoria entrance road after abandoned house,15:08,Royal Flycatcher,V,1,
Sensoria entrance road after abandoned house,15:10,Black Vulture,V,1,soaring
Sensoria entrance road after abandoned house,15:13,Buff-rumped Warbler,V,1,on log
Sensoria entrance road after abandoned house,15:22,Black Vulture,V,2,soaring
Sensoria entrance road after abandoned house,15:32,Tropical Parula,V,1,
Sensoria entrance road after abandoned house,15:50,Lesser Greenlet,V,2,
Sensoria entrance road after abandoned house,15:52,White-throated Shrike-Tanager,V,3,
Sensoria entrance road after abandoned house,15:55,Chestnut-sided Warbler,V,1,
Sensoria entrance road after abandoned house,15:59,White-browed Gnatcatcher,V,1,mobbing
Sensoria entrance road after abandoned house,15:59,Cinnamon Becard,V,2,mobbing
Sensoria entrance road after abandoned house,15:59,Tropical Parula,V,1,mobbing
Sensoria entrance road after abandoned house,15:59,Carmiol's Tanager,V,10,mobbing
Sensoria entrance road after abandoned house,16:08,Hoffmann's two-toed Sloth,V,1,
Sensoria entrance road after abandoned house,16:19,Red-throated Ant-Tanager,E/V,2,"heard one, saw another"
Sensoria entrance road after abandoned house,16:22,Blue-black Grosbeak,V,1,
Sensoria entrance road after abandoned house,16:22,White-collared Manakin,V,1,
Sensoria entrance road after abandoned house,16:22,Bay Wren,E,1,
Sensoria entrance road after abandoned house,16:22,Orange-billed Sparrow,V,2,
Sensoria entrance road after abandoned house,16:32,Keel-billed Motmot,E,1,
Sensoria entrance road after abandoned house,16:34,Crested Guan,V,1,
Sensoria entrance road after abandoned house,16:38,Nightingale Wren,E,1,song
Sensoria entrance road after abandoned house,16:40,Orange-billed Sparrow,E,2,
Sensoria entrance road after abandoned house,16:45,Buff-rumped Warbler,V,1,shaking rump
Sensoria entrance road after abandoned house,16:47,Bay Wren,V,6,
Sensoria entrance road after abandoned house,16:47,Orange-billed Sparrow,E,1,
Sensoria entrance road after abandoned house,16:49,Clay-colored Thrush,E,1,
Sensoria entrance road after abandoned house,16:54,Scarlet-rumped Tanager,V,6,
Sensoria entrance road after abandoned house,16:57,Yellow-throated Toucan,V,2,
Sensoria entrance road after abandoned house,16:59,Red-lored Parrot,V,2,
Sensoria entrance road after abandoned house,17:06,Melodious Blackbird,V,2,
Sensoria entrance road after abandoned house,17:11,Montezuma Oropendola,V,1,
Buenos Aires,17:15,Great-tailed Grackle,V,3,
Buenos Aires,17:16,Tropical Kingbird,V,3,
Buenos Aires,17:17,Variable Seedeater,V,2,
Buenos Aires,17:19,Blue-and-white Swallow,V,2,
Buenos Aires,17:23,House Wren,V,2,
