Familia,Nombre científico,Nombre en inglés,"Nombre en español / (Común en
Costa Rica)",Total,Comentarios,sum_ind
NA,Troglodytes aedon,House Wren,"Soterrey Cucarachero (Soterrey, Soterré)",NA,NA,NA
Turdidae,NA,NA,NA,NA,NA,NA
NA,Catharus aurantiirostris,Orange-billed Nightingale-Thrush,"Zorzal Piquianaranjado (Jilguerillo de Charral, Inglesito)",NA,NA,NA
NA,Catharus ustulatus,Swainson's Thrush,Zorzal de Swainson (Conchita),NA,NA,NA
NA,Hylocichla mustelina,Wood Thrush,Zorzal del Bosque,NA,NA,NA
NA,Turdus grayi,Clay-colored Thrush,Mirlo Pardo (Yigüirro),NA,NA,NA
Estrildidae,NA,NA,NA,NA,NA,NA
NA,Lonchura malacca,Tricolored Munia,Monjita Tricolor,NA,NA,NA
Fringillidae,NA,NA,NA,NA,NA,NA
NA,Euphonia affinis,Scrub Euphonia,"Eufonia Gargantinegra (Finito, Agüío, Monjita Fina)",NA,NA,2
NA,Euphonia luteicapilla,Yellow-crowned Euphonia,"Eufonia Coroniamarilla (Monjita, Agüío)",NA,NA,NA
NA,Euphonia hirundinacea,Yellow-throated Euphonia,"Eufonia Gorgiamarilla (Agüío, Caciquita)",NA,NA,NA
Passerellidae,NA,NA,NA,NA,NA,NA
NA,Peucaea ruficauda,Stripe-headed Sparrow,"Sabanero Cabecilistado (Pájaro Chicle, Albarda Nueva, Ratoncillo)",NA,NA,4
NA,Peucaea botterii,Botteri's Sparrow,Sabanero Pechianteado,NA,NA,NA
NA,Arremonops rufivirgatus,Olive Sparrow,Pinzón Aceitunado (Timbón),NA,NA,3
Icteridae,NA,NA,NA,NA,NA,NA
NA,Sturnella magna,Eastern Meadowlark,"Zacatero Común (Zacatera, Carmelo)",NA,NA,NA
NA,Psarocolius montezuma,Montezuma Oropendola,Oropéndola de Moctezuma (Oropéndola),NA,NA,NA
NA,Cacicus uropygialis,Scarlet-rumped Cacique,"Cacique Lomiescarlata (Sargento, Plío)",NA,NA,NA
NA,Icterus spurius,Orchard Oriole,Bolsero Castaño (Cacique Ahumado),NA,NA,NA
NA,Icterus pustulatus,Streak-backed Oriole,"Bolsero Dorsilistado (Chilchote, Chilto, Chorchín, Chorcha)",NA,NA,NA
NA,Icterus bullockii,Bullock's Oriole,Bolsero de Bullock,NA,NA,NA
NA,Icterus pectoralis,Spot-breasted Oriole,"Bolsero Pechimanchado (Balsero, Chiltote)",NA,NA,NA
NA,Icterus galbula,Baltimore Oriole,"Bolsero Norteño (Cacique Veranero, Cacicón, Naranjero)",NA,NA,NA
NA,Dives dives,Melodious Blackbird,Tordo Cantor,NA,NA,NA
NA,Quiscalus mexicanus,Great-tailed Grackle,"Zanate Grande (Sanate, Zanate)",NA,NA,NA
Parulidae,NA,NA,NA,NA,NA,NA
NA,Seiurus aurocapilla,Ovenbird,Reinita Hornera,NA,NA,NA
NA,Helmitheros vermivorum,Worm-eating Warbler,Reinita Gusanera,NA,NA,NA
NA,Parkesia noveboracensis,Northern Waterthrush,"Reinita Acuática Norteña (Menea Cola, Tordo de Agua)",NA,NA,5
NA,Vermivora chrysoptera,Golden-winged Warbler,Reinita Alidorada,NA,NA,NA
NA,Mniotilta varia,Black-and-white Warbler,Reinita Trepadora (Zebrita),NA,NA,NA
NA,Protonotaria citrea,Prothonotary Warbler,Reinita Cabecidorada,NA,NA,NA
NA,Leiothlypis peregrina,Tennessee Warbler,Reinita Verdilla (Cazadorcita),NA,NA,7
NA,Oporornis agilis,Connecticut Warbler,Reinita Ojianillada,NA,NA,NA
NA,Geothlypis poliocephala,Gray-crowned Yellowthroat,Antifacito Coronigrís,NA,NA,NA
NA,Geothlypis philadelphia,Mourning Warbler,Reinita Enlutada,NA,NA,NA
NA,Geothlypis formosa,Kentucky Warbler,Reinita Cachetinegra,NA,NA,NA
NA,Setophaga ruticilla,American Redstart,Candelita Norteña (Raya Roja),NA,NA,3
NA,Setophaga magnolia,Magnolia Warbler,Reinita Colifajeada,NA,NA,NA
NA,Setophaga fusca,Blackburnian Warbler,Reinita Gorginaranja,NA,NA,NA
NA,Setophaga petechia,Yellow Warbler,Reinita Amarilla (Canarita),NA,NA,NA
NA,Setophaga pensylvanica,Chestnut-sided Warbler,Reinita de Costillas Castañas,NA,NA,NA
NA,Setophaga virens,Black-throated Green Warbler,Reinita Cariamarilla,NA,NA,NA
NA,Basileuterus delattrii,Chestnut-capped Warbler,Reinita Cabecicastaña,NA,NA,13
NA,Cardellina canadensis,Canada Warbler,Reinita Pechirrayada,NA,NA,NA
Cardinalidae,NA,NA,NA,NA,NA,NA
NA,Piranga rubra,Summer Tanager,"Tangara Veranera (Cardenal Veranero, Pan de Achiote, Sangre Toro)",NA,NA,8
NA,Piranga olivacea,Scarlet Tanager,Tangara Escarlata (Cardenal Alas Negras),NA,NA,NA
NA,Piranga ludoviciana,Western Tanager,Tangara Carirroja,NA,NA,NA
NA,Habia fuscicauda,Red-throated Ant-Tanager,Tangara Hormiguera Gorgirroja,NA,NA,NA
NA,Pheucticus ludovicianus,Rose-breasted Grosbeak,Picogrueso Pechirrosado (Calandria),NA,NA,NA
NA,Passerina caerulea,Blue Grosbeak,Picogrueso Azul (Alondra),NA,NA,NA
NA,Passerina cyanea,Indigo Bunting,Azulillo Norteño (Indris),NA,NA,NA
NA,Passerina ciris,Painted Bunting,"Azulillo Sietecolores (Arcoiris, Siete Colores)",NA,NA,NA
NA,Spiza americana,Dickcissel,"Sabanero Arrocero (Arrocero, Pius)",NA,NA,NA
Thraupidae,NA,NA,NA,NA,NA,NA
NA,Thraupis episcopus,Blue-gray Tanager,"Tangara Azuleja (Viudita, Viuda)",NA,NA,NA
NA,Eucometis  penicillata,Gray-headed Tanager,Tangara Cabecigrís,NA,NA,NA
NA,Cyanerpes cyaneus,Red-legged Honeycreeper,"Mielero Patirrojo (Picudo, Mielero, Tucuso, Trepador)",NA,NA,NA
NA,Sporophila morelleti,Morelet's Seedeater,Espiguero Collarejo (Setillero Collarejo),NA,NA,NA
Otras especies,NA,NA,NA,NA,NA,NA
NA,NA,Common Ground Dove,NA,NA,NA,2
NA,NA,Black-and-White Warbler,NA,NA,NA,3
NA,NA,Blue-throated Golden Tail,NA,NA,NA,3
NA,NA,Cabanis Wren,NA,NA,NA,9
NA,NA,Common Paraque,NA,NA,NA,2
NA,NA,Common Tody Flycatcher,NA,NA,NA,1
NA,NA,Northern Barred Woodcreeper,NA,NA,NA,2
NA,NA,Northern Beardless Tyrannulet,NA,NA,NA,1
NA,NA,Oliveacous Woodcreeper,NA,NA,NA,1
NA,NA,Pale-billed Pigeon,NA,NA,NA,1
NA,NA,Plain-capped Star Throat,NA,NA,NA,1
